127.0.0.1 - - [18/Sep/2020:19:06:17 +0900] "GET / HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:18 +0900] "GET /WEB-INF/classes/com/woongjin/woongs/controller/EstimateController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:18 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:34 +0900] "GET / HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:34 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:45 +0900] "GET /menu HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:45 +0900] "POST /allPost HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:45 +0900] "GET /resources/images/test.png HTTP/1.1" 200 116137
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:54 +0900] "POST /subAjax1 HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:54 +0900] "POST /tagPost HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:55 +0900] "POST /subMenu1 HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:57 +0900] "POST /tagPost HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:57 +0900] "POST /subAjax1 HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:58 +0900] "POST /subMenu1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:59 +0900] "POST /tagPost HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:06:59 +0900] "POST /subAjax1 HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:07:00 +0900] "POST /subMenu1 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:07:00 +0900] "POST /subMenu1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:07:01 +0900] "POST /tagPost HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [18/Sep/2020:19:07:01 +0900] "POST /subAjax1 HTTP/1.1" 200 260
